StudentID,Age,Gender,StudyHoursPerDay,AttendanceRate,MotivationLevel,StressLevel,InternetAccess,Resources,EduTechUsage,OnlineCourses,Discussions,AssignmentCompletion,LearningStyle,ExamScore,FinalGrade
55,20,Male,18.8,64.5,6,2,No,High,Yes,4,4,47.8,Reading/Writing,89.1,B
56,23,Male,10.2,72.3,10,4,Yes,Low,Yes,1,0,91.5,Visual,90.4,A
57,18,Female,7.7,92.2,7,9,No,Low,Yes,0,8,62.9,Kinesthetic,79.5,B
58,18,Male,14.6,50.2,9,1,Yes,High,No,2,3,74.0,Kinesthetic,95.0,A
59,28,Male,10.1,51.9,2,9,Yes,Low,Yes,2,1,51.7,Auditory,68.2,C
60,19,Male,10.9,70.9,6,7,No,High,Yes,0,2,72.3,Kinesthetic,82.6,B
61,23,Female,5.3,83.2,10,3,No,High,Yes,4,4,97.4,Reading/Writing,83.0,B
62,27,Male,6.0,70.8,6,8,Yes,Low,Yes,3,4,46.7,Auditory,70.9,C
63,19,Male,6.2,97.0,3,5,No,Low,Yes,2,1,43.6,Reading/Writing,70.2,C
64,22,Female,13.7,93.4,3,8,No,High,No,4,10,85.8,Auditory,90.4,A
65,20,Female,9.0,62.4,10,6,No,High,Yes,5,1,85.0,Kinesthetic,82.1,B
66,19,Male,6.8,94.7,2,7,Yes,High,Yes,1,7,91.1,Visual,79.4,B
67,26,Male,10.7,96.0,7,4,Yes,Low,Yes,2,5,98.2,Kinesthetic,97.2,A
68,28,Female,11.5,60.3,8,1,Yes,Low,No,1,5,92.7,Visual,94.9,A
69,20,Male,15.5,60.5,4,1,Yes,High,No,0,4,92.1,Reading/Writing,96.0,A
70,19,Female,2.2,80.3,6,9,Yes,High,Yes,2,6,78.7,Reading/Writing,70.1,C
71,25,Male,7.3,85.0,8,10,Yes,Low,Yes,0,4,85.5,Visual,73.1,C
72,30,Female,8.3,85.7,6,7,No,Low,No,3,6,52.0,Auditory,69.6,C
73,24,Male,10.7,61.7,10,6,No,Low,Yes,0,0,86.8,Kinesthetic,83.4,B
74,18,Male,1.0,84.9,9,6,No,Low,No,1,4,98.4,Visual,66.6,C
75,30,Female,19.0,83.9,2,5,No,Low,No,2,0,99.8,Kinesthetic,100,A
76,24,Female,14.5,74.4,8,9,No,Low,Yes,5,9,42.1,Reading/Writing,88.7,B
77,19,Male,3.3,89.8,10,5,No,Low,No,3,10,51.4,Auditory,80.5,B
78,26,Female,15.9,95.6,4,2,No,High,Yes,1,3,41.6,Visual,88.1,B
79,22,Male,2.7,58.7,9,7,Yes,Low,No,2,5,96.7,Auditory,75.0,B
80,21,Male,2.8,66.7,1,7,Yes,High,No,0,9,76.2,Visual,61.7,C
81,24,Female,18.0,57.1,3,8,No,Low,Yes,5,9,94.3,Reading/Writing,80.4,B
82,22,Male,9.9,98.0,9,1,No,High,Yes,4,0,59.9,Visual,98.7,A
83,18,Female,15.7,61.8,10,3,No,Low,Yes,1,6,85.5,Kinesthetic,99.8,A
84,29,Male,11.6,57.1,1,4,Yes,Low,Yes,2,2,93.9,Reading/Writing,73.2,C
85,21,Female,17.0,96.2,9,1,No,Low,No,0,7,69.4,Visual,100,A
86,21,Male,18.7,55.2,3,4,No,Low,Yes,2,10,96.9,Reading/Writing,93.6,A
87,20,Female,4.0,62.7,5,2,No,High,No,3,4,44.7,Reading/Writing,66.6,C
88,19,Female,12.4,53.2,5,9,No,Low,Yes,0,8,83.7,Kinesthetic,75.3,B
89,25,Female,6.1,99.2,8,5,No,High,No,3,5,78.3,Kinesthetic,92.5,A
90,28,Male,15.5,71.7,5,2,Yes,Low,Yes,5,10,88.7,Reading/Writing,95.9,A
91,25,Male,3.9,69.5,3,4,Yes,High,No,1,4,72.5,Reading/Writing,76.7,B
92,23,Female,2.0,72.1,3,1,No,Low,Yes,2,3,54.4,Kinesthetic,61.8,C
93,28,Male,13.6,93.9,7,3,Yes,High,Yes,2,1,98.1,Reading/Writing,100,A
94,20,Female,4.7,53.6,8,4,Yes,Low,Yes,0,1,41.2,Auditory,67.4,C
95,29,Male,10.4,88.0,4,7,Yes,High,No,2,8,64.9,Visual,87.4,B
96,29,Female,16.1,52.8,2,1,No,High,Yes,5,4,82.4,Auditory,83.4,B
97,27,Male,2.7,57.7,8,8,Yes,Low,No,2,4,52.3,Visual,56.5,D
98,25,Female,17.1,62.6,10,9,Yes,High,Yes,4,7,96.4,Reading/Writing,100,A
99,22,Male,1.1,65.7,10,2,No,Low,Yes,3,1,77.3,Auditory,71.2,C
100,28,Male,17.6,97.4,5,7,Yes,Low,Yes,2,3,72.9,Visual,92.8,A
101,18,Female,10.5,56.4,5,7,No,High,Yes,4,9,96.5,Kinesthetic,74.9,C
102,23,Female,17.1,52.4,5,5,Yes,High,Yes,3,3,52.3,Auditory,83.2,B
103,26,Female,9.8,99.5,6,8,No,High,No,2,5,55.7,Auditory,88.2,B
104,24,Male,10.5,71.1,10,6,No,Low,No,3,8,73.0,Reading/Writing,88.5,B
105,27,Female,1.0,51.7,8,1,Yes,High,Yes,1,5,79.3,Auditory,70.7,C
106,18,Female,13.2,56.6,1,6,Yes,High,Yes,2,1,48.5,Kinesthetic,69.4,C
107,20,Female,4.2,58.4,4,1,No,Low,Yes,5,0,46.9,Auditory,58.2,D
108,24,Female,4.8,62.3,5,7,Yes,High,Yes,3,8,56.5,Visual,66.1,C
109,27,Female,7.3,74.9,6,2,Yes,Low,No,3,0,64.7,Auditory,72.3,C
110,30,Male,18.6,73.4,8,3,Yes,Low,Yes,5,7,42.4,Kinesthetic,99.0,A
111,20,Female,18.9,50.9,8,2,No,High,Yes,1,6,54.0,Kinesthetic,100,A
112,19,Male,11.2,58.7,3,9,No,High,No,5,6,50.2,Auditory,77.6,B
113,21,Male,6.0,68.6,4,1,Yes,Low,Yes,0,0,74.3,Kinesthetic,65.5,C
114,21,Male,2.8,99.8,2,1,No,High,Yes,3,6,44.8,Visual,65.1,C
115,27,Female,16.3,87.1,1,8,Yes,Low,Yes,2,1,54.7,Visual,84.1,B
116,29,Male,18.4,88.3,3,3,Yes,High,Yes,5,9,66.2,Reading/Writing,100,A
117,23,Male,12.3,78.0,6,5,Yes,High,No,3,4,59.8,Reading/Writing,87.1,B
118,24,Female,7.3,81.2,1,10,Yes,Low,Yes,3,8,69.6,Kinesthetic,74.2,C
119,21,Male,18.1,98.3,5,6,Yes,High,No,3,0,83.7,Kinesthetic,100,A
120,21,Female,19.0,51.3,10,1,Yes,High,No,5,10,66.6,Visual,100,A
121,26,Female,9.5,96.5,1,9,Yes,Low,Yes,5,6,82.0,Kinesthetic,83.8,B
122,30,Male,18.7,61.1,4,8,No,High,No,4,6,84.6,Reading/Writing,90.0,A
123,29,Female,17.9,53.3,2,6,Yes,Low,Yes,1,4,59.2,Auditory,72.6,C
124,23,Male,10.1,87.5,9,5,No,Low,No,0,4,56.8,Auditory,85.7,B
125,28,Male,12.9,87.5,4,7,No,High,No,1,10,55.1,Kinesthetic,94.6,A
126,22,Male,16.1,51.8,6,7,No,Low,Yes,4,8,68.5,Auditory,85.1,B
127,22,Male,3.3,86.8,4,10,Yes,High,Yes,0,7,40.2,Visual,74.2,C
128,22,Male,16.4,61.8,8,4,Yes,Low,Yes,4,9,81.8,Reading/Writing,93.5,A
129,19,Male,2.6,74.2,9,10,No,Low,Yes,1,2,93.9,Kinesthetic,71.0,C
130,26,Female,12.4,53.3,4,10,Yes,High,No,3,5,74.1,Reading/Writing,74.1,C
131,18,Female,13.9,56.1,2,9,No,High,Yes,4,1,82.1,Visual,79.3,B
132,23,Female,12.4,86.6,7,8,Yes,High,Yes,1,6,69.4,Reading/Writing,91.8,A
133,29,Male,19.9,70.8,10,2,Yes,Low,Yes,4,9,85.0,Visual,100,A
134,26,Male,12.1,84.3,5,8,Yes,High,No,3,8,56.3,Kinesthetic,88.2,B
135,28,Female,10.8,80.9,3,1,Yes,Low,No,4,10,83.7,Kinesthetic,96.1,A
136,21,Male,14.9,57.3,6,7,No,Low,No,4,0,52.9,Kinesthetic,79.5,B
137,24,Female,12.9,84.0,2,3,No,High,Yes,0,10,48.2,Kinesthetic,88.6,B
138,26,Female,3.0,98.2,6,9,No,High,Yes,3,9,68.4,Auditory,71.3,C
139,30,Female,12.4,59.7,6,4,No,High,Yes,1,8,78.9,Visual,82.2,B
140,26,Male,12.4,88.1,10,8,No,High,Yes,5,7,59.9,Auditory,92.1,A
141,24,Male,17.1,69.0,9,2,No,High,No,0,5,50.4,Kinesthetic,100,A
142,27,Female,3.9,92.8,5,7,Yes,Low,Yes,3,8,60.4,Reading/Writing,67.1,C
143,19,Male,19.9,83.0,5,6,Yes,Low,No,1,5,84.9,Reading/Writing,100,A
144,23,Female,19.1,98.9,3,4,No,High,Yes,3,9,47.4,Auditory,97.9,A
145,27,Male,13.8,57.7,6,9,No,High,Yes,5,2,74.3,Kinesthetic,89.7,B
146,25,Female,17.1,50.1,5,5,No,Low,Yes,1,0,79.8,Reading/Writing,74.6,C
147,30,Male,17.0,97.2,7,1,No,Low,No,3,3,84.2,Visual,100,A
148,19,Male,10.8,52.5,8,8,No,Low,No,3,2,89.8,Visual,70.8,C
149,20,Female,3.2,64.8,2,10,No,Low,Yes,0,9,59.6,Kinesthetic,51.8,D
150,29,Female,18.8,57.3,2,2,Yes,High,No,0,1,68.4,Visual,95.2,A
151,29,Male,5.7,69.2,9,3,Yes,Low,Yes,4,3,87.9,Reading/Writing,82.6,B
152,21,Female,9.4,91.6,1,4,Yes,Low,Yes,5,9,59.7,Visual,82.8,B
153,27,Male,6.0,72.4,3,1,No,Low,Yes,5,9,41.6,Kinesthetic,65.5,C
154,28,Male,10.8,66.6,4,6,No,Low,No,1,1,55.0,Visual,71.1,C
155,23,Female,3.0,61.6,6,3,Yes,High,Yes,3,6,96.0,Kinesthetic,84.6,B
156,30,Male,19.7,75.6,6,3,No,High,Yes,0,4,93.3,Visual,100,A
157,24,Female,16.0,90.0,5,2,Yes,Low,Yes,0,1,57.4,Kinesthetic,93.7,A
158,20,Male,12.4,86.9,3,9,Yes,High,No,0,6,74.9,Kinesthetic,91.3,A
159,28,Female,16.7,94.9,3,3,No,Low,Yes,4,9,95.2,Visual,99.2,A
160,18,Female,18.0,50.6,4,10,No,High,Yes,5,7,54.1,Auditory,76.3,B
161,20,Female,13.7,57.7,1,5,No,Low,No,4,3,66.2,Kinesthetic,64.8,C
162,20,Male,5.6,68.0,5,9,Yes,Low,Yes,1,5,71.4,Reading/Writing,62.4,C
163,25,Female,17.3,71.4,1,8,No,Low,No,0,1,88.9,Auditory,81.4,B
164,27,Male,10.1,87.2,10,2,Yes,Low,Yes,5,8,78.9,Reading/Writing,90.8,A
165,26,Male,13.9,73.3,4,8,No,High,Yes,2,4,93.7,Reading/Writing,80.6,B
166,20,Female,5.2,67.2,6,6,No,Low,No,2,3,65.8,Reading/Writing,68.0,C
167,19,Male,13.2,98.0,6,5,Yes,High,No,5,4,74.2,Auditory,98.7,A
168,22,Male,19.7,80.1,2,9,No,High,Yes,2,9,84.9,Kinesthetic,96.2,A
169,30,Male,16.9,77.3,5,1,Yes,High,No,3,7,61.7,Auditory,100,A
170,24,Female,10.4,94.3,1,4,No,Low,No,2,8,76.1,Reading/Writing,87.6,B
171,22,Female,1.4,78.6,4,2,No,High,No,2,4,73.4,Reading/Writing,66.9,C
172,30,Male,1.8,81.7,3,10,Yes,Low,No,5,8,64.8,Kinesthetic,61.8,C
173,28,Female,14.7,87.2,7,5,No,High,Yes,3,0,85.4,Kinesthetic,95.8,A
174,18,Female,15.5,95.4,9,1,Yes,High,No,4,0,54.4,Reading/Writing,100,A
175,21,Female,6.6,82.1,2,6,Yes,High,No,5,9,52.9,Reading/Writing,70.7,C
176,29,Female,18.2,76.0,5,1,No,Low,Yes,5,0,66.0,Kinesthetic,86.5,B
177,30,Male,16.7,98.0,2,4,Yes,Low,No,2,9,96.5,Visual,100,A
178,21,Male,16.7,83.8,1,1,Yes,Low,No,0,3,91.1,Reading/Writing,94.7,A
179,28,Male,9.7,56.6,9,8,Yes,High,Yes,1,8,68.7,Reading/Writing,80.8,B
180,30,Female,4.9,62.1,4,6,Yes,Low,No,5,3,60.2,Auditory,57.8,D
181,24,Male,6.8,76.4,9,10,No,High,No,3,10,76.4,Auditory,75.0,B
182,29,Male,13.0,89.2,6,2,No,High,Yes,0,1,84.6,Reading/Writing,97.8,A
183,27,Female,3.8,56.7,1,5,Yes,High,No,1,10,46.6,Reading/Writing,66.9,C
184,28,Male,9.5,96.4,6,4,Yes,Low,Yes,2,8,50.2,Visual,89.2,B
185,24,Female,7.8,51.4,4,8,No,High,Yes,0,10,61.1,Auditory,63.4,C
186,27,Male,8.3,67.4,2,9,Yes,High,Yes,4,3,45.1,Auditory,68.9,C
187,21,Male,8.6,86.5,2,7,No,Low,Yes,5,9,45.3,Kinesthetic,74.8,C
188,19,Male,18.8,91.6,1,3,Yes,High,No,5,7,58.7,Reading/Writing,96.7,A
189,22,Female,13.3,59.3,7,4,No,High,No,0,4,84.0,Kinesthetic,82.2,B
190,23,Female,10.9,95.2,4,1,Yes,Low,No,1,1,67.6,Auditory,93.0,A
191,30,Female,5.9,80.4,3,5,No,Low,Yes,1,2,66.7,Kinesthetic,72.9,C
192,25,Female,12.8,64.0,7,3,Yes,High,No,0,8,42.0,Reading/Writing,88.6,B
193,20,Male,16.0,60.4,10,8,No,High,Yes,4,5,90.8,Auditory,100,A
194,22,Male,11.7,67.8,7,1,No,Low,Yes,5,9,82.0,Auditory,90.7,A
195,19,Male,2.6,95.7,1,5,Yes,High,Yes,2,10,97.8,Visual,76.8,B
196,27,Male,15.4,94.7,4,2,Yes,Low,No,4,6,45.8,Reading/Writing,87.9,B
197,29,Male,15.6,69.6,5,8,Yes,Low,No,0,5,78.4,Reading/Writing,89.3,B
198,26,Female,4.6,52.9,5,8,No,Low,No,5,1,98.5,Kinesthetic,61.3,C
199,20,Female,4.9,68.5,7,5,No,High,No,1,6,59.4,Visual,76.5,B
200,29,Male,11.2,65.5,2,2,Yes,Low,No,1,6,68.5,Visual,72.5,C
201,20,Female,16.2,75.1,7,10,No,Low,No,0,0,74.7,Reading/Writing,83.7,B
202,25,Female,9.6,67.3,8,9,Yes,High,Yes,3,10,95.7,Kinesthetic,82.5,B
203,25,Male,4.3,69.3,10,2,No,Low,Yes,2,6,99.6,Auditory,87.0,B
204,28,Female,12.3,89.3,8,10,Yes,High,No,0,3,93.2,Reading/Writing,88.2,B
205,21,Female,2.3,64.3,6,1,Yes,Low,No,1,3,65.0,Auditory,64.9,C
206,27,Male,2.4,92.0,4,10,No,Low,Yes,1,2,89.4,Visual,64.8,C
207,27,Female,1.4,50.7,2,6,No,Low,Yes,2,5,47.2,Reading/Writing,44.2,F
208,19,Female,10.7,61.6,6,7,Yes,High,Yes,1,8,77.8,Kinesthetic,85.1,B
209,27,Male,10.6,72.0,7,10,No,Low,Yes,5,7,74.7,Reading/Writing,73.0,C
210,30,Male,17.5,67.6,1,1,No,High,No,2,0,90.7,Reading/Writing,86.0,B
211,25,Male,4.7,56.5,5,6,No,High,No,0,9,52.1,Auditory,62.3,C
212,30,Female,9.0,53.1,1,8,No,High,Yes,1,2,86.1,Kinesthetic,71.5,C
213,20,Female,1.8,67.0,3,6,No,High,Yes,5,6,58.3,Kinesthetic,52.7,D
214,28,Male,10.5,76.6,6,9,No,Low,Yes,4,4,74.3,Kinesthetic,79.1,B
215,21,Male,4.0,63.4,2,3,Yes,Low,No,5,5,68.3,Kinesthetic,60.1,C
216,18,Female,2.0,68.0,9,6,Yes,High,Yes,2,2,83.7,Kinesthetic,79.5,B
217,25,Male,14.7,76.8,6,10,No,Low,Yes,4,9,90.0,Kinesthetic,80.7,B
218,23,Male,11.9,92.8,7,3,Yes,Low,No,3,3,75.3,Auditory,87.6,B
219,30,Male,12.0,93.8,8,2,No,High,No,4,0,68.5,Auditory,90.3,A
220,23,Female,1.2,64.9,7,1,Yes,Low,No,1,5,64.8,Visual,67.3,C
221,26,Male,7.3,77.4,2,6,Yes,Low,Yes,5,10,75.1,Kinesthetic,82.1,B
222,28,Female,13.3,99.6,5,5,No,Low,Yes,4,3,80.2,Visual,89.6,B
223,19,Male,12.6,51.6,3,7,Yes,Low,No,1,4,71.3,Auditory,73.4,C
224,27,Male,9.2,80.4,8,2,Yes,Low,Yes,4,0,80.2,Auditory,80.4,B
225,22,Male,10.3,65.8,10,3,No,Low,Yes,1,0,55.9,Auditory,72.9,C
226,20,Male,16.9,75.4,8,2,Yes,High,Yes,4,7,51.0,Kinesthetic,100,A
227,22,Female,19.0,57.6,4,10,No,High,No,5,7,63.3,Kinesthetic,86.5,B
228,24,Female,9.4,69.3,6,10,No,High,Yes,4,3,68.3,Visual,83.5,B
229,24,Male,6.6,81.7,3,5,Yes,High,Yes,3,5,47.7,Reading/Writing,72.6,C
230,19,Male,7.1,62.3,9,4,No,High,Yes,1,8,45.8,Kinesthetic,78.0,B
231,29,Male,15.4,73.5,2,3,Yes,High,Yes,1,5,81.9,Kinesthetic,91.0,A
232,29,Female,13.1,63.7,9,7,No,Low,Yes,2,10,58.3,Reading/Writing,76.9,B
233,19,Female,19.0,81.6,5,5,No,Low,Yes,2,5,68.4,Auditory,90.7,A
234,20,Female,14.7,55.6,1,4,No,Low,No,0,9,92.1,Visual,71.8,C
235,28,Female,18.1,79.3,10,9,Yes,High,Yes,5,9,91.0,Auditory,100,A
236,26,Male,14.4,73.6,9,3,No,High,No,3,1,67.5,Kinesthetic,100,A
237,20,Female,11.4,74.0,7,7,Yes,Low,No,2,1,42.5,Kinesthetic,80.3,B
238,21,Male,19.8,55.3,4,9,No,High,No,3,2,56.8,Visual,87.8,B
239,21,Male,17.7,92.0,6,9,Yes,High,Yes,5,5,72.1,Kinesthetic,100,A
240,26,Male,14.9,95.9,1,1,No,Low,Yes,1,1,43.2,Visual,79.2,B
241,23,Female,16.5,76.6,1,10,No,High,Yes,3,8,76.4,Kinesthetic,88.3,B
242,29,Female,17.0,99.0,3,9,Yes,High,Yes,4,8,61.3,Kinesthetic,100,A
243,27,Female,14.8,84.8,10,8,Yes,Low,Yes,4,1,68.1,Reading/Writing,96.3,A
244,27,Male,12.0,64.0,3,8,No,Low,No,4,8,50.2,Reading/Writing,75.8,B
245,19,Female,7.8,55.4,2,5,No,High,Yes,5,3,71.4,Kinesthetic,74.4,C
246,30,Female,14.8,76.3,2,1,No,High,Yes,3,4,70.0,Kinesthetic,82.5,B
247,30,Male,1.7,92.4,10,10,Yes,Low,No,0,9,96.6,Visual,78.7,B
248,20,Male,11.5,70.4,3,4,No,Low,No,5,3,50.6,Visual,71.1,C
249,24,Female,15.7,63.2,10,10,Yes,High,No,4,1,87.0,Visual,100,A
250,19,Female,18.2,53.2,4,2,Yes,High,No,0,10,97.0,Visual,100,A
251,18,Male,3.9,57.3,3,3,No,High,Yes,4,0,56.9,Reading/Writing,67.7,C
252,20,Male,11.3,85.8,6,6,Yes,High,Yes,4,0,45.8,Auditory,94.3,A
253,28,Male,8.0,81.7,5,10,No,Low,Yes,3,2,67.3,Visual,66.4,C
254,19,Male,10.7,73.0,1,6,No,High,No,1,10,90.7,Reading/Writing,72.2,C
255,26,Female,11.5,69.7,1,2,No,High,Yes,5,0,100.0,Reading/Writing,85.2,B
256,25,Male,10.1,67.8,9,10,No,High,No,3,2,60.8,Kinesthetic,83.2,B
257,22,Female,6.3,88.5,3,3,Yes,High,Yes,1,4,88.8,Auditory,91.2,A
258,24,Male,11.6,72.8,9,3,Yes,High,No,4,6,69.0,Kinesthetic,90.1,A
259,25,Female,16.7,76.5,10,5,Yes,Low,Yes,5,1,84.9,Reading/Writing,100,A
260,27,Female,5.1,50.4,2,4,Yes,High,Yes,0,7,54.7,Auditory,70.8,C
261,26,Male,3.3,73.8,4,2,Yes,High,Yes,2,1,68.5,Kinesthetic,65.9,C
262,18,Female,16.7,51.2,6,2,Yes,Low,No,2,7,69.5,Visual,87.5,B
263,23,Male,2.1,90.6,3,4,Yes,High,Yes,5,10,61.1,Reading/Writing,71.6,C
264,24,Male,10.8,88.2,3,8,Yes,Low,Yes,2,3,85.4,Auditory,86.8,B
265,22,Male,18.9,60.1,8,9,Yes,High,Yes,2,6,50.3,Reading/Writing,100,A
266,26,Male,19.2,94.8,7,2,Yes,High,No,5,0,59.8,Reading/Writing,100,A
267,18,Female,1.7,72.4,6,6,No,High,No,2,10,81.4,Kinesthetic,72.4,C
268,19,Female,2.5,83.4,10,9,No,High,No,4,6,70.5,Auditory,76.2,B
269,19,Male,8.1,93.5,10,3,No,Low,Yes,4,10,44.0,Auditory,91.9,A
270,29,Female,9.2,63.5,3,8,Yes,High,Yes,2,3,43.7,Visual,73.1,C
271,30,Male,4.5,99.2,6,9,No,Low,Yes,4,10,87.9,Kinesthetic,79.4,B
272,26,Male,7.6,60.1,9,10,Yes,High,No,0,1,63.0,Kinesthetic,68.5,C
273,26,Female,12.9,88.9,2,10,No,High,No,0,7,80.6,Auditory,79.6,B
274,21,Male,11.3,67.2,4,1,No,High,Yes,2,3,63.3,Reading/Writing,76.3,B
275,27,Male,18.6,95.0,8,3,Yes,Low,No,1,1,65.9,Visual,100,A
276,21,Female,9.9,76.9,6,4,No,High,No,1,0,63.1,Visual,77.0,B
277,24,Female,1.6,81.9,1,2,Yes,High,No,1,3,95.1,Auditory,67.4,C
278,25,Male,10.6,84.4,6,5,No,Low,No,2,8,65.6,Reading/Writing,89.6,B
279,30,Female,4.3,58.1,5,6,Yes,High,Yes,5,9,72.2,Auditory,76.6,B
280,28,Male,6.9,90.5,8,3,Yes,High,No,3,9,87.4,Reading/Writing,95.8,A
281,21,Male,6.0,97.2,5,1,Yes,Low,No,4,0,44.6,Reading/Writing,73.8,C
282,29,Female,1.4,94.3,5,5,No,High,Yes,2,5,83.0,Reading/Writing,66.3,C
283,24,Female,5.8,64.9,6,9,No,High,No,0,10,68.3,Kinesthetic,74.1,C
284,22,Female,14.6,85.4,3,1,No,High,No,0,5,82.9,Kinesthetic,100,A
285,23,Female,12.0,63.6,5,4,Yes,Low,Yes,1,4,87.3,Visual,84.0,B
286,21,Female,19.3,64.5,7,10,No,High,Yes,2,4,79.2,Reading/Writing,88.8,B
287,20,Female,7.5,91.0,3,6,No,Low,No,4,8,77.0,Visual,78.4,B
288,22,Male,1.8,58.4,4,9,Yes,Low,Yes,0,1,88.8,Reading/Writing,58.1,D
